audit_date,task,status,array_index,profile_rows,checkpoint_epoch_zero_based,checkpoint_global_step,optimizer_state,scheduler_state,prediction_artifact,resume_checkpoint
2026-09-10,N010/pair01_B,complete,,1771,,,,,N010/pair01_B/predictions/10_datasets_mix_a4cff9/queueNB_DataN10_h958930_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N010/pair02_A,complete,,1771,,,,,N010/pair02_A/predictions/10_datasets_mix_22cad3/queueNB_DataN10_h0f1c97_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N010/pair02_B,complete,,1771,,,,,N010/pair02_B/predictions/10_datasets_mix_824398/queueNB_DataN10_h7cfc4e_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N010/pair03_A,complete,,1771,,,,,N010/pair03_A/predictions/10_datasets_mix_731936/queueNB_DataN10_h4e1996_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N010/pair03_B,complete,,1771,,,,,N010/pair03_B/predictions/10_datasets_mix_b7bbe7/queueNB_DataN10_h7b83dd_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N020/pair01_A,complete,,1771,,,,,N020/pair01_A/predictions/20_datasets_mix_36e74e/queueNB_DataN20_h43ee4f_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N020/pair01_B,complete,,1771,,,,,N020/pair01_B/predictions/20_datasets_mix_0d2847/queueNB_DataN20_h1b6b03_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N020/pair02_A,complete,,1771,,,,,N020/pair02_A/predictions/20_datasets_mix_63eb1d/queueNB_DataN20_h4fd785_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N020/pair02_B,complete,,1771,,,,,N020/pair02_B/predictions/20_datasets_mix_a0b1db/queueNB_DataN20_hc6cf07_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N020/pair03_A,resume,8,,11,4776,True,True,,N020/pair03_A/checkpoints/20_datasets_mix_e36fbd/queueNB_DataN20_h9f5afa_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/real_exp8_N020_pair03_A/last.ckpt
2026-09-10,N020/pair03_B,resume,9,,1,784,True,True,,N020/pair03_B/checkpoints/20_datasets_mix_87ba8d/queueNB_DataN20_hbf2c5f_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/real_exp8_N020_pair03_B/last.ckpt
